dbms,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,CC,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM_Approval_Registry,Project
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM_BExEntriesExpanded_Test,Project
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM_BExEntriesExpanded_Test2,Project
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_ActualTaskEffort_Test,PlannedTaskEffortID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Infrastructure_Actuals_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Employee,2,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Name,3,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Classification,4,nvarchar,50,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Month,5,nvarchar,30,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Pending,6,float,NULL,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Approved,7,float,NULL,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,MaxHours,8,float,NULL,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Short Text,9,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Created by,10,nvarchar,255,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Created on,11,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Year,12,int,NULL,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Project,13,varchar,255,FOREIGN KEY,dbo,BB Actual-PS,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Project,13,varchar,255,FOREIGN KEY,dbo,BB Actual-Salary,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,Project,13,varchar,255,FOREIGN KEY,dbo,BB Line-PS,ID
